"","year","title","author","journal","number","cites","pubid"
"76",2010,"Adaptation of intestinal microbiota after weight loss: Effects of gastric bypass (GBP) in massively obese subjects.","LC Kong, JP Furet, J Tap, C Poitou, A Basdevant, JL Bouillot, G Corthier, ...","Diabetes & Metabolism","36, A7-A8",3,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:WF5omc3nYNoC"
"77",2010,"Differential adaptation of human gut microbiota to bariatric surgery-induced weight loss: links with metabolic and low-grade inflammatory markers","LC Kong, JP Furet, J Tap, C Poitou-Bernert, A Basdevant, JL Bouillot, ...","Diabetes","59, A486-A486",1,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:eQOLeE2rZwMC"
"78",2009,"Towards the human intestinal microbiota phylogenetic core","J Tap, S Mondot, F Levenez, E Pelletier, C Caron, JP Furet, E Ugarte, ...","Environmental microbiology","11 (10), 2574-2584",1196,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:u-x6o8ySG0sC"
"79",2009,"Comparative assessment of human and farm animal faecal microbiota using real-time quantitative PCR","JP Furet, O Firmesse, M Gourmelon, C Bridonneau, J Tap, S Mondot, ...","FEMS microbiology ecology","68 (3), 351-362",479,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:9yKSN-GCB0IC"
"80",2009,"Towards the healthy human intestinal microbiota phylogenetic core?","J Tap, S Mondot, F Levenez, E Pelletier, C Caron, JP Furet, E Ugarte, ...","Microbial Ecology","57 (3), 580-581",5,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:LkGwnXOMwfcC"
"81",2009,"Impact du régime alimentaire sur la dynamique structurale et fonctionnelle du microbiote intestinal humain","J Tap","Université Pierre et Marie Curie","",4,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:Y0pCki6q_DkC"
"82",2009,"Vers le noyau phylogenetique du microbiote intestinal human","J Tap, S Mondot, F Levenez, E Pelletier, C Caron, J Furet, JP Pierre, ...","","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:SrKkpNFED5gC"
"83",2009,"Impact du régime alimentaire sur la dynamique structurale et fonctionnelle du microbiote intestinal humain| Theses. fr","J Tap","Paris","6",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:oqD4_j7ulsYC"
"84",2009,"Phylogenetic and Functional Specificities of Crohn’s Disease Microbiota","S Mondot, J Tap, JP Furet, P Lepage, J Doré, P Marteau, M Leclerc","","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:ufrVoPGSRksC"
"85",2006,"Structure génétique de Mycobacterium prototuberculosis et origine de M. tuberculosis.","J Tap","< bound method Organization. get_name_with_acronym of< Organization: INRAE …","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:QVtou7C4vgoC"
"86",2004,"Caractérisation moléculaire des Escherichia coli O111 et diversité des souches isolées en France","J Tap","Rapport de stage. Unité Biodiversité Bactéries Pathogènes Emergentes. Centre …","",2,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:JWITY9-sCbMC"
"87",2003,"Les mycotoxines","G Royer, J TAP","Université Paris XII Année","2004",3,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:g8uWPOAv7ggC"
"88",NA,"Genome analysis of smooth tubercle bacilli provides insights into ancestry and pathoadaptation of the etiologic agent of tuberculosis","P Supply, M Marceau, S Mangenot, D Roche, C Rouanet, V Khanna, ...","","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:yeL6HyUMUGUC"
